SITENAME,Date,Salinity,TN,TP
SRS1a,12/1/2000,-9999,47.646,0.67
SRS1a,12/4/2000,-9999,42.793,0.44
SRS1a,12/7/2000,-9999,32.179,0.35
SRS1a,12/10/2000,-9999,41.576,0.35
SRS1a,12/13/2000,-9999,51.388,0.27
SRS1a,12/16/2000,-9999,37.313,0.39
SRS1a,12/17/2000,-9999,38.615,0.38
SRS1a,12/21/2000,-9999,44.696,0.26
SRS1a,12/24/2000,-9999,45.19,0.75
SRS1a,12/27/2000,-9999,35.107,0.47
SRS1a,12/30/2000,-9999,37.165,0.09
SRS1a,1/2/2001,-9999,50.221,0.15
SRS1a,1/5/2001,-9999,42.781,0.17
SRS1a,1/8/2001,-9999,42.413,0.23
SRS1a,1/10/2001,-9999,36.282,0.44
SRS1a,1/13/2001,-9999,40.263,0.75
SRS1a,1/16/2001,-9999,36.326,0.37
SRS1a,1/18/2001,-9999,36.21,0.36
SRS1a,1/19/2001,-9999,31.875,0.24
SRS1a,2/15/2001,-9999,42.712,0.55
SRS1a,2/18/2001,-9999,46.401,1
SRS1a,2/21/2001,-9999,42.756,0.86
SRS1a,2/24/2001,-9999,44.923,1.01
SRS1a,2/27/2001,-9999,52.987,1.11
SRS1a,3/2/2001,-9999,60.26,0.99
SRS1a,3/5/2001,-9999,43.626,0.81
SRS1a,3/8/2001,-9999,41.91,1.03
SRS1a,3/11/2001,-9999,46.157,1.39
SRS1a,3/14/2001,-9999,45.679,1.56
SRS1a,3/17/2001,-9999,34.78,-9999
SRS1a,3/19/2001,-9999,42.971,-9999
SRS1a,3/22/2001,-9999,86.916,-9999
SRS1a,3/25/2001,-9999,78.253,0.98
SRS1a,3/28/2001,-9999,96.857,-9999
SRS1a,3/31/2001,-9999,73.572,0.91
SRS1a,4/3/2001,-9999,72.112,0.73
SRS1a,4/6/2001,-9999,82.592,0.47
SRS1a,4/9/2001,-9999,70.814,0.38
SRS1a,4/12/2001,-9999,71.94,0.45
SRS1a,4/15/2001,-9999,66.269,0.38
SRS1a,4/17/2001,-9999,80.128,0.9
SRS1a,4/20/2001,-9999,54.846,0.5
SRS1a,4/23/2001,-9999,41.656,0.55
SRS1a,4/26/2001,-9999,43.977,0.74
SRS1a,4/29/2001,-9999,40.293,0.35
SRS1a,5/2/2001,-9999,39.401,0.4
SRS1a,5/5/2001,-9999,39.952,0.47
SRS1a,5/8/2001,-9999,38.488,0.48
SRS1a,5/11/2001,-9999,53.165,0.63
SRS1a,5/14/2001,-9999,57.566,0.97
SRS1a,5/17/2001,-9999,79.332,0.94
SRS1a,5/20/2001,-9999,69.961,1.04
SRS1a,5/23/2001,-9999,78.279,1.9
SRS1a,5/26/2001,-9999,62.527,1.08
SRS1a,5/29/2001,-9999,86.129,1.13
SRS1a,6/1/2001,-9999,16.509,0.87
SRS1a,6/4/2001,-9999,93.634,0.85
SRS1a,6/7/2001,-9999,85.966,0.7
SRS1a,6/10/2001,-9999,79.164,0.56
SRS1a,6/12/2001,-9999,52.508,0.67
SRS1a,6/15/2001,-9999,75.918,0.97
SRS1a,6/18/2001,-9999,84.758,1.31
SRS1a,6/21/2001,-9999,76.465,0.73
SRS1a,6/24/2001,-9999,86.539,1.43
SRS1a,6/27/2001,-9999,80.418,0.84
SRS1a,6/30/2001,-9999,70.641,0.96
SRS1a,7/3/2001,-9999,68.538,0.67
SRS1a,7/6/2001,-9999,64.789,0.71
SRS1a,7/9/2001,-9999,70.127,0.82
SRS1a,7/12/2001,-9999,73.456,0.9
SRS1a,7/15/2001,-9999,87.81,0.75
SRS1a,7/18/2001,-9999,77.286,1.06
SRS1a,7/21/2001,-9999,76.618,0.65
SRS1a,7/24/2001,-9999,58.154,0.52
SRS1a,7/27/2001,-9999,59.48,0.64
SRS1a,7/30/2001,-9999,52.402,0.23
SRS1a,7/31/2001,-9999,91.866,0.86
SRS1a,8/3/2001,-9999,111.377,0.56
SRS1a,8/6/2001,-9999,73.389,0.18
SRS1a,8/9/2001,-9999,73.486,0.3
SRS1a,8/12/2001,-9999,59.9,0.28
SRS1a,8/15/2001,-9999,56.365,0.13
SRS1a,8/18/2001,-9999,64.633,0.23
SRS1a,8/21/2001,-9999,61.024,0.21
SRS1a,8/24/2001,-9999,54.637,0.12
SRS1a,8/27/2001,-9999,52.122,0.06
SRS1a,8/30/2001,-9999,56.103,0.12
SRS1a,9/2/2001,-9999,57.517,0.14
SRS1a,9/5/2001,-9999,49.431,0.1
SRS1a,9/8/2001,-9999,49.982,0.23
SRS1a,9/11/2001,-9999,53.654,0.23
SRS1a,9/13/2001,-9999,54.798,0.28
SRS1a,9/16/2001,-9999,-9999,0.18
SRS1a,9/19/2001,-9999,107.247,0.54
SRS1a,9/22/2001,-9999,94.032,0.11
SRS1a,9/25/2001,-9999,89.794,0.27
SRS1a,9/28/2001,-9999,103.356,0.16
SRS1a,10/1/2001,-9999,91.692,0.18
SRS1a,10/4/2001,-9999,96.581,0.13
SRS1a,10/7/2001,-9999,75.151,0.13
SRS1a,10/10/2001,-9999,75.624,0.15
SRS1a,10/13/2001,-9999,64.846,0.13
SRS1a,10/16/2001,-9999,59.452,0.1
SRS1a,10/19/2001,-9999,54.765,0.09
SRS1a,10/22/2001,-9999,59.98,0.18
SRS1a,10/25/2001,-9999,-9999,-9999
SRS1a,10/28/2001,-9999,104.655,0.88
SRS1a,10/31/2001,-9999,90.783,0.44
SRS1a,11/3/2001,-9999,103.452,0.42
SRS1a,11/6/2001,-9999,85.411,0.11
SRS1a,11/9/2001,-9999,101.07,0.87
SRS1a,11/12/2001,-9999,81.932,0.1
SRS1a,11/15/2001,-9999,71.742,0.12
SRS1a,11/18/2001,-9999,70.892,0.54
SRS1a,11/21/2001,-9999,100.137,1.02
SRS1a,11/24/2001,-9999,83.015,0.12
SRS1a,11/27/2001,-9999,51.746,0.25
SRS1a,11/28/2001,-9999,-9999,0.27
SRS1a,12/1/2001,-9999,55.383,-9999
SRS1a,12/4/2001,-9999,42.026,0.1
SRS1a,12/7/2001,-9999,45.614,0.08
SRS1a,12/10/2001,-9999,50.408,0.08
SRS1a,12/13/2001,-9999,62.128,0.19
SRS1a,12/16/2001,-9999,48.083,0.1
SRS1a,12/19/2001,-9999,45.149,0.09
SRS1a,12/22/2001,-9999,67.472,0.17
SRS1a,12/25/2001,-9999,62.189,0.2
SRS1a,12/28/2001,-9999,64.18,0.45
SRS1a,12/31/2001,-9999,58.267,0.2
SRS1a,1/3/2002,-9999,62.158,0.23
SRS1a,1/6/2002,-9999,61.607,0.29
SRS1a,1/9/2002,-9999,62.803,0.3
SRS1a,1/12/2002,-9999,56.254,0.29
